NAME	TITLE	SCORE	
CD96	CD96 molecule [Source:HGNC Symbol;Acc:HGNC:16892]	3.8417776	
FAM13C	family with sequence similarity 13 member C [Source:HGNC Symbol;Acc:HGNC:19371]	3.5440602	
SLC25A47	solute carrier family 25 member 47 [Source:HGNC Symbol;Acc:HGNC:20115]	3.508854	
OLFML1	olfactomedin like 1 [Source:HGNC Symbol;Acc:HGNC:24473]	3.4398468	
ENO1P4	enolase 1 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:37945]	3.433666	
ASIC2	acid sensing ion channel subunit 2 [Source:HGNC Symbol;Acc:HGNC:99]	3.0931427	
ROPN1L	rhophilin associated tail protein 1 like [Source:HGNC Symbol;Acc:HGNC:24060]	3.0889506	
PARM1	prostate androgen-regulated mucin-like protein 1 [Source:HGNC Symbol;Acc:HGNC:24536]	2.9061348	
CLEC17A	C-type lectin domain containing 17A [Source:HGNC Symbol;Acc:HGNC:34520]	2.8945565	
ECM2	extracellular matrix protein 2 [Source:HGNC Symbol;Acc:HGNC:3154]	2.8842247	
DAPP1	dual adaptor of phosphotyrosine and 3-phosphoinositides 1 [Source:HGNC Symbol;Acc:HGNC:16500]	2.8401268	
FGFR3	fibroblast growth factor receptor 3 [Source:HGNC Symbol;Acc:HGNC:3690]	2.822381	
LENEP	lens epithelial protein [Source:HGNC Symbol;Acc:HGNC:14429]	2.8031838	
TRAPPC3L	trafficking protein particle complex subunit 3L [Source:HGNC Symbol;Acc:HGNC:21090]	2.6734653	
RGS7BP	regulator of G protein signaling 7 binding protein [Source:HGNC Symbol;Acc:HGNC:23271]	2.593915	
DEPP1	DEPP1 autophagy regulator [Source:HGNC Symbol;Acc:HGNC:23355]	2.5831943	
RP1L1	RP1 like 1 [Source:HGNC Symbol;Acc:HGNC:15946]	2.5745645	
OLFML2B	olfactomedin like 2B [Source:HGNC Symbol;Acc:HGNC:24558]	2.5713043	
AKR1B1P1	aldehyde reductase family 1 member B1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:420]	2.5710852	
HSPB9	heat shock protein family B (small) member 9 [Source:HGNC Symbol;Acc:HGNC:30589]	2.568012	
BRD7P2	bromodomain containing 7 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:33541]	2.5676377	
COL9A2	collagen type IX alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2218]	2.567249	
TGM7	transglutaminase 7 [Source:HGNC Symbol;Acc:HGNC:30790]	2.566715	
REM1	RRAD and GEM like GTPase 1 [Source:HGNC Symbol;Acc:HGNC:15922]	2.5664582	
AADACL4	arylacetamide deacetylase like 4 [Source:HGNC Symbol;Acc:HGNC:32038]	2.5663478	
DUX4L34	double homeobox 4 like 34 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:51772]	2.5663195	
SNX18P7	sorting nexin 18 pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:39615]	2.5619385	
CST2	cystatin SA [Source:HGNC Symbol;Acc:HGNC:2474]	2.56112	
TMED10P1	transmembrane p24 trafficking protein 10 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:30754]	2.5603096	
ABCC6	ATP binding cassette subfamily C member 6 [Source:HGNC Symbol;Acc:HGNC:57]	2.5550716	
EML6	EMAP like 6 [Source:HGNC Symbol;Acc:HGNC:35412]	2.5212657	
SORBS1	sorbin and SH3 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14565]	2.5181935	
ACTC1	actin alpha cardiac muscle 1 [Source:HGNC Symbol;Acc:HGNC:143]	2.5132978	
CRB2	crumbs cell polarity complex component 2 [Source:HGNC Symbol;Acc:HGNC:18688]	2.4602804	
OLFML2A	olfactomedin like 2A [Source:HGNC Symbol;Acc:HGNC:27270]	2.4480317	
PLXDC1	plexin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20945]	2.4436138	
NXPH3	neurexophilin 3 [Source:HGNC Symbol;Acc:HGNC:8077]	2.4299192	
PLPPR3	phospholipid phosphatase related 3 [Source:HGNC Symbol;Acc:HGNC:23497]	2.425306	
PPL	periplakin [Source:HGNC Symbol;Acc:HGNC:9273]	2.4163451	
PLAC1	placenta enriched 1 [Source:HGNC Symbol;Acc:HGNC:9044]	2.410023	
SLC13A4	solute carrier family 13 member 4 [Source:HGNC Symbol;Acc:HGNC:15827]	2.401418	
DES	desmin [Source:HGNC Symbol;Acc:HGNC:2770]	2.3777115	
PRSS35	serine protease 35 [Source:HGNC Symbol;Acc:HGNC:21387]	2.3662212	
SAPCD1	suppressor APC domain containing 1 [Source:HGNC Symbol;Acc:HGNC:13938]	2.3260992	
IGSF3	immunoglobulin superfamily member 3 [Source:HGNC Symbol;Acc:HGNC:5950]	2.3025606	
EIF4BP5	eukaryotic translation initiation factor 4B pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:37938]	2.2931523	
TSPAN18	tetraspanin 18 [Source:HGNC Symbol;Acc:HGNC:20660]	2.2825499	
RNF225	ring finger protein 225 [Source:HGNC Symbol;Acc:HGNC:51249]	2.2824852	
GPR182	G protein-coupled receptor 182 [Source:HGNC Symbol;Acc:HGNC:13708]	2.2699676	
BCL2L11	BCL2 like 11 [Source:HGNC Symbol;Acc:HGNC:994]	2.2475626	
NRTN	neurturin [Source:HGNC Symbol;Acc:HGNC:8007]	2.2405825	
ARHGAP28	Rho GTPase activating protein 28 [Source:HGNC Symbol;Acc:HGNC:25509]	2.2402117	
ASTL	astacin like metalloendopeptidase [Source:HGNC Symbol;Acc:HGNC:31704]	2.228891	
CPNE5	copine 5 [Source:HGNC Symbol;Acc:HGNC:2318]	2.2271419	
